A,0,0,0,12
A,0,0,1,22
A,0,0,2,30
A,0,1,0,15
A,0,1,2,17
A,0,1,3,18
A,0,2,0,29
A,0,2,1,19
A,0,2,2,12
A,0,2,3,13
A,1,0,0,18
A,1,0,1,21
A,1,0,2,21
A,1,0,3,11
A,1,1,0,13
A,1,1,1,14
A,1,1,2,15
A,1,1,3,24
A,1,2,0,12
A,1,2,1,23
A,1,2,2,21
A,1,2,3,13
B,0,0,0,16
B,0,0,1,12
B,0,0,2,24
B,0,0,3,22
B,0,1,0,29
B,0,1,1,13
B,0,1,2,11
B,0,1,3,12
B,0,2,0,13
B,0,2,1,14
B,0,2,2,15
B,0,2,3,16
B,1,0,0,17
B,1,0,1,18
B,1,0,2,15
B,1,0,3,12
B,1,1,0,12
B,1,1,1,13
B,1,1,2,12
B,1,1,3,11
B,1,2,0,16
B,1,2,1,17
B,1,2,2,12
B,1,2,3,11
